branch,branch_name,region,top_peer_branch,origin_month,last_quantity,quantity_lag1_from_origin,quantity_lag2_from_origin,quantity_lag3_from_origin,quantity_lag6_from_origin,quantity_lag12_from_origin,quantity_lag1_available,quantity_lag2_available,quantity_lag3_available,quantity_lag6_available,quantity_lag12_available,rolling_mean_3_asof_origin,rolling_mean_6_asof_origin,rolling_std_3_asof_origin,rolling_std_6_asof_origin,ewm_3_asof_origin,recent_growth_3m,region_ex_self_lag0,region_ex_self_lag1,region_ex_self_lag2,region_ex_self_lag3,system_ex_self_lag0,system_ex_self_lag1,active_base_skus_asof_origin,top5_abs_share_asof_origin,sku_hhi_asof_origin,top_peer_last_quantity,top_peer_lag1_quantity,target_month,horizon,target_quantity,seasonal_naive,trend_index,gg_trends_lag1,flag_mua_mua,ty_trong_chay_tet,ty_trong_thang_gieng,ty_trong_thang_co_hon,ty_trong_thanh_minh,target_month_number,target_month_sin,target_month_cos
081,Chi nhánh Đồng Nai Unimax,Đông Nam Bộ,073,2024-01-01,5237.1,,,,,,0,0,0,0,0,5237.1,5237.1,,,5237.1,,61666.840000000004,,,,335326.91000000003,,145.0,0.274598537358462,0.0250629391012268,9201.11999999999,,2024-02-01,1,8638.53,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
094,Chi nhánh Tây Ninh Unimax,Đông Nam Bộ,022,2024-01-01,2412.18,,,,,,0,0,0,0,0,2412.18,2412.18,,,2412.18,,64491.76,,,,338151.83,,48.0,0.468174016864413,0.0648950914979328,3465.55,,2024-02-01,1,370.38,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
097,Chi nhánh Bình Phước Unilux,Đông Nam Bộ,060,2024-01-01,5582.28,,,,,,0,0,0,0,0,5582.28,5582.28,,,5582.28,,61321.66,,,,334981.73,,44.0,0.300615519106888,0.0375229316378853,7283.69,,2024-02-01,1,1921.62,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
098,Chi nhánh Kiên Giang Unimax,Tây Nam Bộ,097,2024-01-01,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,5582.28,,2024-02-01,1,937.68,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
099,Chi nhánh Bình Định Unis,Tây Nguyên,076,2024-01-01,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,7103.47,,2024-02-01,1,1.44,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
222,Công Ty TNHH MTV UNILUX,Khác,000,2024-01-01,10089.12,,,,,,0,0,0,0,0,10089.12,10089.12,,,10089.12,,88749.92,,,,330474.89,,72.0,0.312027213473524,0.0346431064022717,88749.92,,2024-02-01,1,14752.1,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
000,Công Ty Cổ Phần Tập Đoàn UNIS,Khác,222,2024-02-01,76880.9199999999,88749.92,,,,,1,0,0,0,0,82815.41999999995,82815.41999999995,8392.65038590321,8392.65038590321,82815.41999999995,,14752.100000000006,10089.119999999995,,,167593.67,251814.09000000003,112.0,0.241545496593954,0.0251838307944079,14752.1,10089.12,2024-03-01,1,96263.8799999999,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
000,Công Ty Cổ Phần Tập Đoàn UNIS,Khác,222,2024-01-01,88749.92,,,,,,0,0,0,0,0,88749.92,88749.92,,,88749.92,,10089.119999999995,,,,251814.09000000003,,176.0,0.176314975833218,0.0159267733477491,10089.12,,2024-03-01,2,96263.8799999999,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
001,Chi nhánh Đà Nẵng Unis,Tây Nguyên,079,2024-02-01,6484.8,6694.32,,,,,1,0,0,0,0,6589.5599999999995,6589.5599999999995,148.15301279420478,148.15301279420478,6589.5599999999995,,43342.689999999995,59306.159999999996,,,237989.78999999992,333869.69,50.0,0.567357512953368,0.0876160035479197,1681.28,4338.3,2024-03-01,1,8663.36,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
001,Chi nhánh Đà Nẵng Unis,Tây Nguyên,079,2024-01-01,6694.32,,,,,,0,0,0,0,0,6694.32,6694.32,,,6694.32,,59306.159999999996,,,,333869.69,,133.0,0.244147277094612,0.0222470944823029,4338.3,,2024-03-01,2,8663.36,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
002,Chi nhánh Bình Dương Unis,Đông Nam Bộ,060,2024-02-01,1270.45,4696.74,,,,,1,0,0,0,0,2983.595,2983.595,2422.752893311656,2422.752893311656,2983.595,,37289.72,62207.200000000004,,,243204.1399999999,335867.27,32.0,0.492235034830178,0.0716606915607018,1540.09,7283.69,2024-03-01,1,7561.51,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
002,Chi nhánh Bình Dương Unis,Đông Nam Bộ,060,2024-01-01,4696.74,,,,,,0,0,0,0,0,4696.74,4696.74,,,4696.74,,62207.200000000004,,,,335867.27,,109.0,0.396875279449149,0.0446017161421576,7283.69,,2024-03-01,2,7561.51,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
008,Chi nhánh HCM Unis,Đông Nam Bộ,076,2024-02-01,3194.17,13811.34,,,,,1,0,0,0,0,8502.755000000001,8502.755000000001,7507.4729040103775,7507.4729040103775,8502.755000000001,,35366.0,53092.600000000006,,,241280.4199999999,326752.67,97.0,0.35262994768594,0.0388521425293426,1855.95,7103.47,2024-03-01,1,16087.43,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
008,Chi nhánh HCM Unis,Đông Nam Bộ,076,2024-01-01,13811.34,,,,,,0,0,0,0,0,13811.34,13811.34,,,13811.34,,53092.600000000006,,,,326752.67,,201.0,0.19043771277805,0.0184157390377546,7103.47,,2024-03-01,2,16087.43,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
010,Chi nhánh Đồng Nai Unis,Đông Nam Bộ,050,2024-02-01,7626.08,8478.29,,,,,1,0,0,0,0,8052.185,8052.185,602.6034699949884,602.6034699949884,8052.185,,30934.089999999997,58425.65,,,236848.50999999992,332085.72000000003,58.0,0.578213184230955,0.100168177653369,8725.98,11981.21,2024-03-01,1,18492.13,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
010,Chi nhánh Đồng Nai Unis,Đông Nam Bộ,050,2024-01-01,8478.29,,,,,,0,0,0,0,0,8478.29,8478.29,,,8478.29,,58425.65,,,,332085.72000000003,,134.0,0.459219960628853,0.0642862926679018,11981.21,,2024-03-01,2,18492.13,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
011,Chi nhánh Tiền Giang Unis,Tây Nam Bộ,008,2024-02-01,4501.62,9085.71000000001,,,,,1,0,0,0,0,6793.6650000000045,6793.6650000000045,3241.4411245694478,3241.4411245694478,6793.6650000000045,,59952.29000000001,99734.84,,,239972.9699999999,331478.3,89.0,0.365579502490215,0.0410272122850898,3194.17,13811.34,2024-03-01,1,12494.48,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
011,Chi nhánh Tiền Giang Unis,Tây Nam Bộ,008,2024-01-01,9085.71000000001,,,,,,0,0,0,0,0,9085.71000000001,9085.71000000001,,,9085.71000000001,,99734.84,,,,331478.3,,167.0,0.244150429630706,0.0229356185091569,13811.34,,2024-03-01,2,12494.48,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
012,Chi nhánh Bình Thuận Unis,Tây Nguyên,064,2024-02-01,2597.82,3119.7,,,,,1,0,0,0,0,2858.76,2858.76,369.02488696563535,369.02488696563535,2858.76,,47229.67,62880.78,,,241876.7699999999,337444.31,30.0,0.765233926907946,0.232109758097541,2832.16,4220.23,2024-03-01,1,18284.82,,3.0,22.25,0.0,0.0,0.290323,0.0,0.0,3,1.0,6.123233995736766e-17
